,ElasticNet,Lasso,XGBoost,RandomForest,Ridge,SVR_perm,mean_rank
growth_score_change,0.0,0.0,0.02563,0.039261,0.126908,0.008209,11.166667
operating_margin_change,0.0,0.0,0.024311,0.037906,0.224717,-9.6e-05,14.5
equity_ratio_change,0.0,0.0,0.021365,0.024836,0.100404,0.014661,17.333333
profitability_score,0.0,0.0,0.023461,0.020935,0.240619,0.00362,18.0
return_on_assets_change,0.0,0.0,0.023672,0.023431,0.098719,0.005279,18.166667
capex_intensity,0.0,0.0,0.026531,0.03176,0.094657,-0.004694,18.5
operating_cash_flow_margin,0.0,0.0,0.027552,0.036458,0.001131,0.005972,18.5
net_income_growth_yoy_change,0.0,0.0,0.024148,0.026936,0.005829,0.020096,18.666667
operating_cash_flow_growth_yoy_change,0.0,0.0,0.019678,0.026106,0.116064,0.004698,19.833333
leverage_score_change,0.0,0.0,0.022843,0.025202,0.066562,0.00291,20.0
revenue_growth_yoy,0.0,0.0,0.022428,0.028333,0.247567,-0.015211,20.166667
equity_ratio,0.0,0.0,0.025201,0.024781,0.077574,-0.002234,20.166667
asset_turnover_change,0.0,0.0,0.022018,0.02515,0.026521,0.006664,20.333333
ROIC_change,0.0,0.0,0.025159,0.029778,0.018033,0.001466,20.666667
growth_score,0.0,0.0,0.022206,0.013514,0.113077,0.006851,21.166667
operating_cash_flow_growth_yoy,0.0,0.0,0.022759,0.023522,0.20892,-0.008401,21.5
debt_to_assets,0.0,0.0,0.021878,0.021694,0.16533,-0.005713,22.166667
revenue_growth_yoy_change,0.0,0.0,0.024003,0.030899,0.02126,-0.004108,22.5
gross_margin,0.0,0.0,0.019623,0.016929,0.133297,0.005615,22.5
operating_income_growth_yoy,0.0,0.0,0.017999,0.016204,0.182177,0.005524,23.5
asset_turnover,0.0,0.0,0.02105,0.021093,0.10697,-0.00409,24.166667
profitability_score_change,0.0,0.0,0.020708,0.021086,0.060066,0.003052,24.166667
return_on_assets,0.0,0.0,0.021599,0.018191,0.03252,0.005245,24.333333
gross_margin_change,0.0,0.0,0.017602,0.018602,0.110862,0.005036,24.666667
leverage_score,0.0,0.0,0.021572,0.015808,0.097637,0.004347,24.666667
return_on_equity,0.0,0.0,0.017871,0.021154,0.053111,0.004829,25.333333
investment_score,0.0,0.0,0.02167,0.017967,0.041664,0.000544,25.666667
operating_income_growth_yoy_change,0.0,0.0,0.020268,0.019059,0.114259,-0.006762,25.833333
r_and_d_intensity,0.0,0.0,0.017174,0.009212,0.102092,0.009551,26.0
operating_cash_flow_margin_change,0.0,0.0,0.021927,0.026285,0.011182,-0.005926,26.666667
capex_intensity_change,0.0,0.0,0.018055,0.017071,0.009283,0.014432,27.5
operative_score,0.0,0.0,0.025479,0.002107,0.022519,-0.001097,27.666667
cash_conversion_change,0.0,0.0,0.021299,0.028962,0.004291,-0.007836,28.166667
net_income_growth_yoy,0.0,0.0,0.018364,0.019595,0.05079,-0.003032,28.166667
return_on_equity_change,0.0,0.0,0.015758,0.018233,0.112354,-0.003483,28.333333
ROIC,0.0,0.0,0.013808,0.013256,0.089309,0.006241,28.5
investment_score_change,0.0,0.0,0.018762,0.016352,0.00056,0.007253,28.833333
r_and_d_intensity_change,0.0,0.0,0.023529,0.007853,0.028413,-0.004522,29.0
cash_to_assets,0.0,0.0,0.021085,0.018363,0.05662,-0.011351,29.166667
debt_to_assets_change,0.0,0.0,0.019228,0.019887,0.016468,-0.000729,29.166667
cash_flow_score_change,0.0,0.0,0.019818,0.024527,0.02129,-0.009633,29.333333
cash_flow_score,0.0,0.0,0.016635,0.015951,0.028057,0.00581,29.5
cash_conversion,0.0,0.0,0.016672,0.021854,0.019073,-0.001057,29.833333
operative_score_change,0.0,0.0,0.016994,0.003103,0.015012,0.01178,30.666667
efficiency_score,0.0,0.0,0.019767,0.015479,0.069484,-0.008239,30.833333
efficiency_score_change,0.0,0.0,0.017809,0.016069,0.03036,-0.005578,32.333333
operating_margin,0.0,0.0,0.017752,0.015125,0.014982,-0.000404,33.166667
cash_to_assets_change,0.0,0.0,0.015283,0.014122,0.032415,-0.00782,35.0
