company_group,sector,ticker,position,statement_type,concepts_used,extraction_method,n_filings,latest_value,latest_period
BankA,Banks,AXP,allowance_for_credit_losses,balance_sheet,FinancingReceivableAllowanceForCreditLosses,ixbrl_dimensional,21,6065000000.0,2026-03-31
BankA,Banks,BAC,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest, FinancingReceivableAllowanceForCreditLosses",sec_companyfacts,21,13148000000.0,2026-03-31
BankA,Banks,C,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest, FinancingReceivableAllowanceForCreditLosses",ixbrl_dimensional,21,19636000000.0,2026-03-31
BankA,Banks,GS,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLosses, LoansAndLeasesReceivableAllowance",sec_companyfacts,21,2345000000.0,2026-03-31
BankA,Banks,JPM,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest, FinancingReceivableAllowanceForCreditLosses",sec_companyfacts,21,25928000000.0,2026-03-31
BankA,Banks,MS,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest, FinancingReceivableAllowanceForCreditLosses",sec_companyfacts,21,1174000000.0,2026-03-31
BankA,Banks,SCHW,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLossExcludingAccruedInterest, FinancingReceivableAllowanceForCreditLosses",sec_companyfacts,21,36000000.0,2026-03-31
BankA,Banks,WFC,allowance_for_credit_losses,balance_sheet,"FinancingReceivableAllowanceForCreditLosses, FinancingReceivableAndNetInvestmentInLeaseAllowanceForLoanLossesExcludingAccruedInterest",ixbrl_dimensional,21,13864000000.0,2026-03-31
BankA,Banks,AXP,card_member_loans,balance_sheet,NotesReceivableNet,ixbrl_dimensional,21,207247000000.0,2026-03-31
BankA,Banks,AXP,card_member_loans_held_for_sale,balance_sheet,LoansReceivableHeldForSaleAmount,ixbrl_dimensional,6,2477000000.0,2026-03-31
BankA,Banks,AXP,income_before_tax,income_statement,"IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest, IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",sec_companyfacts,21,3778000000.0,2026-03-31
BankA,Banks,BAC,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,10404000000.0,2026-03-31
BankA,Banks,C,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,ixbrl_dimensional,21,7517000000.0,2026-03-31
BankA,Banks,GS,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,6486000000.0,2026-03-31
BankA,Banks,JPM,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,20479000000.0,2026-03-31
BankA,Banks,MS,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,7011000000.0,2026-03-31
BankA,Banks,SCHW,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,3188000000.0,2026-03-31
BankA,Banks,WFC,income_before_tax,income_statement,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,sec_companyfacts,21,5981000000.0,2026-03-31
