ticker,logoid,source,bytes
000660.KS,sk-telecom,tradingview,1319
005930.KS,samsung,tradingview,2015
6758.T,sony,tradingview,2528
7203.T,toyota,tradingview,1174
8306.T,mitsubishi-group,tradingview,625
9988.HK,alibaba,tradingview,1231
AAPL,apple,tradingview,1281
ABBV,abbvie,tradingview,1932
ABT,abbott,tradingview,456
ACN,accenture,tradingview,226
ALV.DE,allianz,tradingview,643
AMAT,applied-materials,tradingview,661
AMD,advanced-micro-devices,tradingview,467
AMGN,amgen,tradingview,1248
AMZN,amazon,tradingview,944
APH,amphenol,tradingview,1664
APP,applovin-cdr-cad-hedged,tradingview,515
ASML.AS,asml,tradingview,847
AVGO,broadcom,tradingview,1264
AXP,american-express,tradingview,709
AZN.L,astrazeneca,tradingview,5212
BA,boeing,tradingview,1164
BAC,bank-of-america,tradingview,843
BKNG,booking,tradingview,1112
BLK,blackrock,tradingview,855
BRK-B,berkshire-hathaway,tradingview,1534
C,citigroup,tradingview,957
CAT,caterpillar,tradingview,692
CBA.AX,commonwealth-bank,tradingview,299
COST,costco-wholesale,tradingview,10558
CRM,salesforce,tradingview,6147
CSCO,cisco,tradingview,1443
CVX,chevron,tradingview,455
DIS,walt-disney,tradingview,1107
GE,ge-aerospace,tradingview,2585
GEV,ge-verona,tradingview,2585
GOOGL,alphabet,tradingview,2489
GS,golden-sachs-etf-trust-goldman,tradingview,5548
HD,home-depot,tradingview,7093
HSBA.L,hsbc,tradingview,319
IBM,international-bus-mach,tradingview,1153
INTC,intel,tradingview,1330
INTU,intuit,tradingview,1163
ISRG,intuitive-surgical,tradingview,3744
JNJ,johnson-and-johnson,tradingview,1135
JPM,jpmorgan-chase,tradingview,5298
KLAC,kla-tencor,tradingview,764
KO,coca-cola,tradingview,5726
LIN,linde,tradingview,895
LLY,eli-lilly,tradingview,2475
LRCX,lam-research,tradingview,280
MA,mastercard,tradingview,579
MC.PA,lvmh,tradingview,1622
MCD,mcdonalds,tradingview,432
META,meta-platforms,tradingview,2308
MRK,merck-and-co,tradingview,315
MS,morgan-stanley,tradingview,1157
MSFT,microsoft,tradingview,330
MU,micron-technology,tradingview,2424
NEE,nextera-energy,tradingview,1133
NESN.SW,nestle,tradingview,3486
NFLX,netflix,tradingview,476
NOVN.SW,novartis,tradingview,823
NOVO-B.CO,novo-nordisk,tradingview,5098
NOW,servicenow,tradingview,960
NVDA,nvidia,tradingview,1173
ORCL,oracle,tradingview,1231
PEP,pepsico,tradingview,1915
PG,procter-and-gamble,tradingview,1652
PLTR,palantir,tradingview,564
PM,philip-morris,tradingview,25133
QCOM,qualcomm,tradingview,554
RHHBY,roche,tradingview,2207
RTX,raytheon,tradingview,1229
RY.TO,royal-bank-of-canada,tradingview,3883
SAN.MC,santander,tradingview,686
SAP.DE,sap,tradingview,1106
SCHW,schwab,tradingview,6402
SHEL.L,shell,tradingview,984
SHOP.TO,shopify,tradingview,1408
SIE.DE,siemens,tradingview,1482
SPGI,s-and-p-global,tradingview,217
T,at-and-t,tradingview,1820
TCEHY,tencent,tradingview,1876
TD.TO,toronto-dominion-bank,tradingview,366
TJX,tjx-cos,tradingview,499
TMO,thermo-fisher-scientific,tradingview,457
TSLA,tesla,tradingview,549
TSM,taiwan-semiconductor,tradingview,2071
TXN,texas-instruments,tradingview,688
UBER,uber,tradingview,1442
UNH,unitedhealth,tradingview,1475
V,visa,tradingview,874
VZ,verizon,tradingview,427
WFC,wells-fargo,tradingview,1036
WMT,walmart,tradingview,1186
XOM,exxon,tradingview,1465
