ticker,sector,company_group,position,concept,concept_priority,taxonomy,unit,value,start,end,fy,fp,form,filed,frame,accession_number,label,source,statement_type,duration_days
INTU,Technology,TechD,cost_of_product,CostOfGoodsAndServicesSold,1,us-gaap,USD,14000000.0,2026-02-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_product,CostOfGoodsAndServicesSold,1,us-gaap,USD,18000000.0,2025-02-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_product,CostOfGoodsAndServicesSold,1,us-gaap,USD,47000000.0,2025-08-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_product,CostOfGoodsAndServicesSold,1,us-gaap,USD,52000000.0,2024-08-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_service,CostOfGoodsAndServicesSold,1,us-gaap,USD,1317000000.0,2026-02-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_service,CostOfGoodsAndServicesSold,1,us-gaap,USD,1138000000.0,2025-02-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_service,CostOfGoodsAndServicesSold,1,us-gaap,USD,3122000000.0,2025-08-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_service,CostOfGoodsAndServicesSold,1,us-gaap,USD,2790000000.0,2024-08-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,43000000.0,2026-02-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,38000000.0,2025-02-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,131000000.0,2025-08-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,112000000.0,2024-08-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,272
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,43000000.0,2026-02-01,2026-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
INTU,Technology,TechD,cost_of_amo,CostOfGoodsAndServicesSoldAmortization,1,us-gaap,USD,38000000.0,2025-02-01,2025-04-30,,,10-Q,2026-05-20,,0000896878-26-000025,,ixbrl,income_statement,88
