ticker,sector,company_group,position,concept,concept_priority,taxonomy,unit,value,start,end,fy,fp,form,filed,frame,accession_number,label,source,statement_type,duration_days
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2930961000.0,2025-12-29,2026-03-29,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2406489000.0,2024-12-30,2025-03-30,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,8263884000.0,2025-06-30,2026-03-29,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,6874848000.0,2024-07-01,2025-03-30,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,94960000.0,2025-12-29,2026-03-29,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,47200000.0,2024-12-30,2025-03-30,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,275232000.0,2025-06-30,2026-03-29,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,181977000.0,2024-07-01,2025-03-30,,,10-Q,2026-04-23,,0000707549-26-000022,,ixbrl,income_statement,272
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2693629000.0,2025-09-29,2025-12-28,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,90
LRCX,Technology,TechB,cost_of_revenue,CostOfGoodsAndServicesSoldExcludingRestructuringCharges,1,company_extension_ixbrl,USD,2303066000.0,2024-09-30,2024-12-29,,,10-Q,2026-01-29,,0000707549-26-000009,,ixbrl,income_statement,90
