ticker,sector,company_group,position,concept,concept_priority,taxonomy,unit,value,start,end,fy,fp,form,filed,frame,accession_number,label,source,statement_type,duration_days
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,537000000.0,2023-01-30,2023-07-30,,,10-Q,2023-08-28,,0001045810-23-000175,,ixbrl,cash_flow_statement,181
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,794000000.0,2022-01-31,2022-07-31,,,10-Q,2023-08-28,,0001045810-23-000175,,ixbrl,cash_flow_statement,181
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,248000000.0,2023-01-30,2023-04-30,,,10-Q,2023-05-26,,0001045810-23-000093,,ixbrl,cash_flow_statement,90
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,361000000.0,2022-01-31,2022-05-01,,,10-Q,2023-05-26,,0001045810-23-000093,,ixbrl,cash_flow_statement,90
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,1833000000.0,2022-01-31,2023-01-29,,,10-K,2023-02-24,,0001045810-23-000017,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,976000000.0,2021-02-01,2022-01-30,,,10-K,2023-02-24,,0001045810-23-000017,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,1128000000.0,2020-01-27,2021-01-31,,,10-K,2023-02-24,,0001045810-23-000017,,ixbrl,cash_flow_statement,370
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,1324000000.0,2022-01-31,2022-10-30,,,10-Q,2022-11-18,,0001045810-22-000166,,ixbrl,cash_flow_statement,272
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,703000000.0,2021-02-01,2021-10-31,,,10-Q,2022-11-18,,0001045810-22-000166,,ixbrl,cash_flow_statement,272
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,794000000.0,2022-01-31,2022-07-31,,,10-Q,2022-08-31,,0001045810-22-000147,,ixbrl,cash_flow_statement,181
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,481000000.0,2021-02-01,2021-08-01,,,10-Q,2022-08-31,,0001045810-22-000147,,ixbrl,cash_flow_statement,181
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,361000000.0,2022-01-31,2022-05-01,,,10-Q,2022-05-27,,0001045810-22-000079,,ixbrl,cash_flow_statement,90
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,298000000.0,2021-02-01,2021-05-02,,,10-Q,2022-05-27,,0001045810-22-000079,,ixbrl,cash_flow_statement,90
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,976000000.0,2021-02-01,2022-01-30,,,10-K,2022-03-18,,0001045810-22-000036,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,1128000000.0,2020-01-27,2021-01-31,,,10-K,2022-03-18,,0001045810-22-000036,,ixbrl,cash_flow_statement,370
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,489000000.0,2019-01-28,2020-01-26,,,10-K,2022-03-18,,0001045810-22-000036,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,1128000000.0,2020-01-27,2021-01-31,,,10-K,2021-02-26,,0001045810-21-000010,,ixbrl,cash_flow_statement,370
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,489000000.0,2019-01-28,2020-01-26,,,10-K,2021-02-26,,0001045810-21-000010,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,600000000.0,2018-01-29,2019-01-27,,,10-K,2021-02-26,,0001045810-21-000010,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,489000000.0,2019-01-28,2020-01-26,,,10-K,2020-02-20,,0001045810-20-000010,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,600000000.0,2018-01-29,2019-01-27,,,10-K,2020-02-20,,0001045810-20-000010,,ixbrl,cash_flow_statement,363
NVDA,Technology,TechB,capital_expenditure,PurchasesOfPropertyAndEquipmentAndIntangibleAssets,1,company_extension_ixbrl,USD,593000000.0,2017-01-30,2018-01-28,,,10-K,2020-02-20,,0001045810-20-000010,,ixbrl,cash_flow_statement,363
