ticker,sector,company_group,position,concept,concept_priority,taxonomy,unit,value,start,end,fy,fp,form,filed,frame,accession_number,label,source,statement_type,duration_days
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,183000000.0,2025-12-01,2026-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,89
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,197000000.0,2024-12-01,2025-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,89
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,576000000.0,2025-06-01,2026-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,272
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,530000000.0,2024-06-01,2025-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,272
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1133000000.0,2025-12-01,2026-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,89
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1116000000.0,2024-12-01,2025-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,89
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,3401000000.0,2025-06-01,2026-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,272
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,3430000000.0,2024-06-01,2025-02-28,,,10-Q,2026-03-11,,0001193125-26-101045,,ixbrl,income_statement,272
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,215000000.0,2025-09-01,2025-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,90
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,172000000.0,2024-09-01,2024-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,90
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,393000000.0,2025-06-01,2025-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,182
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,333000000.0,2024-06-01,2024-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,182
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1169000000.0,2025-09-01,2025-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,90
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1167000000.0,2024-09-01,2024-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,90
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,2268000000.0,2025-06-01,2025-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,182
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,2314000000.0,2024-06-01,2024-11-30,,,10-Q,2025-12-11,,0001193125-25-315925,,ixbrl,income_statement,182
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,178000000.0,2025-06-01,2025-08-31,,,10-Q,2025-09-10,,0001193125-25-200095,,ixbrl,income_statement,91
ORCL,Technology,TechD,hardware_cost,HardwareExpenses,1,company_extension_ixbrl,USD,162000000.0,2024-06-01,2024-08-31,,,10-Q,2025-09-10,,0001193125-25-200095,,ixbrl,income_statement,91
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1099000000.0,2025-06-01,2025-08-31,,,10-Q,2025-09-10,,0001193125-25-200095,,ixbrl,income_statement,91
ORCL,Technology,TechD,services_cost,ServicesExpense,1,company_extension_ixbrl,USD,1147000000.0,2024-06-01,2024-08-31,,,10-Q,2025-09-10,,0001193125-25-200095,,ixbrl,income_statement,91
ORCL,Technology,TechD,cloud_services_and_license_support_cost,CloudServicesAndLicenseSupportExpenses,1,company_extension_ixbrl,USD,11569000000.0,2024-06-01,2025-05-31,,,10-K,2025-06-18,,0000950170-25-087926,,ixbrl,income_statement,364
ORCL,Technology,TechD,cloud_services_and_license_support_cost,CloudServicesAndLicenseSupportExpenses,1,company_extension_ixbrl,USD,9427000000.0,2023-06-01,2024-05-31,,,10-K,2025-06-18,,0000950170-25-087926,,ixbrl,income_statement,365
