feature,n,pearson,spearman,abs_spearman,reliable
net_interest_margin,144,-0.1784,-0.1307,0.1307,False
net_interest_margin_change,144,-0.107,-0.1043,0.1043,False
capital_retention,32,-0.0387,-0.0792,0.0792,False
net_margin_change,1314,0.0618,0.0784,0.0784,True
operating_income_growth_yoy_change,886,-0.0021,-0.058,0.058,True
equity_ratio,1239,-0.0504,-0.0568,0.0568,True
inventory_turnover_change,280,0.0961,0.0552,0.0552,False
return_on_assets,1314,-0.0226,-0.054,0.054,True
asset_turnover,1314,-0.0115,-0.0529,0.0529,True
ROIC_change,1050,0.0252,0.0515,0.0515,True
operating_margin_change,1134,0.0671,0.0502,0.0502,True
return_on_assets_change,1314,0.0193,0.0478,0.0478,True
net_income_growth_yoy,1170,0.0352,0.047,0.047,True
gross_margin_change,989,0.0212,0.0436,0.0436,True
inventory_turnover,280,-0.1023,-0.0434,0.0434,False
efficiency_score,1314,0.0447,0.0409,0.0409,True
gross_margin,989,-0.0506,-0.0399,0.0399,True
return_on_equity,1239,-0.0216,-0.0377,0.0377,True
operative_score,1281,-0.0349,-0.0359,0.0359,True
operating_cash_flow_growth_yoy,1170,0.0525,0.0358,0.0358,True
efficiency_score_change,1314,0.0356,0.0354,0.0354,True
growth_score,1170,0.0442,0.0341,0.0341,True
operating_income_to_assets,1134,-0.0173,-0.0323,0.0323,True
net_debt_to_assets_change,1170,-0.0299,-0.0321,0.0321,True
growth_score_change,1026,-0.0314,-0.0321,0.0321,True
cash_to_assets_change,1170,0.0221,0.0315,0.0315,True
return_on_equity_change,1233,0.0231,0.0301,0.0301,True
profitability_score,1314,0.0412,0.0295,0.0295,True
operating_income_to_assets_change,1134,0.0179,0.027,0.027,True
revenue_growth_yoy,1170,-0.0124,-0.0264,0.0264,True
revenue_growth_yoy_change,1026,-0.0225,-0.0259,0.0259,True
capex_intensity_change,1163,-0.0123,0.0248,0.0248,True
equity_ratio_change,1233,-0.0151,-0.0241,0.0241,True
ROIC,1057,-0.0025,-0.0241,0.0241,True
net_margin,1314,0.0324,0.023,0.023,True
investment_score,1202,-0.0206,-0.0227,0.0227,True
cash_to_assets,1170,0.0211,0.0216,0.0216,True
capex_intensity,1163,-0.0125,-0.0214,0.0214,True
financial_score,1314,0.0367,0.0214,0.0214,True
cash_flow_score_change,1314,0.0059,0.0207,0.0207,True
profitability_score_change,1314,0.0423,0.0206,0.0206,True
free_cash_flow_margin_change,1163,0.0246,0.0201,0.0201,True
investment_score_change,1194,-0.0192,-0.02,0.02,True
free_cash_flow_margin,1163,0.0409,0.0185,0.0185,True
net_debt_to_assets,1170,-0.019,-0.0168,0.0168,True
financial_score_change,1314,0.0124,0.0151,0.0151,True
cash_conversion_change,1314,-0.0038,-0.0123,0.0123,True
operating_cash_flow_margin_change,1314,0.0018,0.012,0.012,True
operating_income_growth_yoy,1010,0.0807,0.0109,0.0109,True
reinvestment_rate_change,750,-0.0572,0.0103,0.0103,False
competitive_advantage_score_w050,1314,-0.0058,-0.0096,0.0096,True
r_and_d_intensity_change,757,-0.0635,-0.0084,0.0084,False
debt_to_assets,1170,-0.0104,-0.008,0.008,True
r_and_d_intensity,757,-0.0128,0.0075,0.0075,False
operating_cash_flow_margin,1314,-0.036,0.0066,0.0066,True
cash_flow_score,1314,0.0062,-0.0056,0.0056,True
operative_score_change,1279,0.0079,-0.0042,0.0042,True
asset_turnover_change,1314,-0.0011,-0.0039,0.0039,True
leverage_score_change,1314,0.0053,-0.0033,0.0033,True
operating_cash_flow_growth_yoy_change,1026,0.0112,0.0028,0.0028,True
cash_conversion,1314,-0.0298,-0.0028,0.0028,True
operating_margin,1134,0.0065,-0.0021,0.0021,True
debt_to_assets_change,1170,-0.019,-0.0014,0.0014,True
leverage_score,1314,0.0059,0.0011,0.0011,True
reinvestment_rate,750,-0.0195,-0.001,0.001,False
net_income_growth_yoy_change,1026,-0.0059,-0.0001,0.0001,True
capital_retention_change,24,,,,False
