feature,pct_missing_all,pct_missing_train,pct_missing_US,pct_missing_intl,n_missing_all
profitability_score,0.88,0.0,0.0,8.24,15
growth_score,23.89,10.96,18.82,66.48,409
cash_flow_score,2.1,0.0,0.0,19.78,36
leverage_score,0.18,0.0,0.0,1.65,3
efficiency_score,0.88,0.0,0.0,8.24,15
investment_score,11.33,8.52,8.89,31.87,194
financial_score,0.18,0.0,0.0,1.65,3
operative_score,9.35,2.51,2.55,66.48,160
competitive_advantage_score_w050,0.18,0.0,0.0,1.65,3
gross_margin,26.29,24.73,24.77,39.01,450
operating_margin,15.95,13.7,13.73,34.62,273
net_margin,0.88,0.0,0.0,8.24,15
return_on_assets,0.88,0.0,0.0,8.24,15
return_on_equity,5.96,5.71,5.69,8.24,102
revenue_growth_yoy,23.89,10.96,18.82,66.48,409
operating_income_growth_yoy,34.81,23.14,29.93,75.82,596
net_income_growth_yoy,23.89,10.96,18.82,66.48,409
operating_cash_flow_growth_yoy,24.12,10.96,18.82,68.68,413
operating_cash_flow_margin,2.1,0.0,0.0,19.78,36
free_cash_flow_margin,14.25,11.49,11.5,37.36,244
cash_conversion,2.1,0.0,0.0,19.78,36
debt_to_assets,12.56,10.96,10.98,25.82,215
net_debt_to_assets,12.62,10.96,10.98,26.37,216
cash_to_assets,12.62,10.96,10.98,26.37,216
equity_ratio,5.26,5.71,5.69,1.65,90
asset_turnover,0.88,0.0,0.0,8.24,15
operating_income_to_assets,15.95,13.7,13.73,34.62,273
inventory_turnover,79.09,78.69,78.56,83.52,1354
r_and_d_intensity,43.22,42.39,42.22,51.65,740
capex_intensity,14.25,11.49,11.5,37.36,244
reinvestment_rate,43.69,42.92,42.75,51.65,748
ROIC,21.26,19.56,19.61,35.16,364
net_interest_margin,87.79,89.04,89.02,77.47,1503
capital_retention,97.55,97.56,97.91,94.51,1670
profitability_score_change,11.97,0.0,9.41,33.52,205
growth_score_change,34.93,21.92,28.24,91.21,598
cash_flow_score_change,12.91,0.0,9.41,42.31,221
leverage_score_change,11.51,0.0,9.41,29.12,197
efficiency_score_change,11.97,0.0,9.41,33.52,205
investment_score_change,21.55,9.13,17.78,53.3,369
financial_score_change,11.51,0.0,9.41,29.12,197
operative_score_change,18.63,2.66,11.9,75.27,319
gross_margin_change,34.4,24.73,31.83,56.04,589
operating_margin_change,25.12,13.7,21.83,52.75,430
net_margin_change,11.97,0.0,9.41,33.52,205
return_on_assets_change,11.97,0.0,9.41,33.52,205
return_on_equity_change,17.0,6.16,15.03,33.52,291
revenue_growth_yoy_change,34.93,21.92,28.24,91.21,598
operating_income_growth_yoy_change,43.93,32.57,38.04,93.41,752
net_income_growth_yoy_change,34.93,21.92,28.24,91.21,598
operating_cash_flow_growth_yoy_change,34.93,21.92,28.24,91.21,598
operating_cash_flow_margin_change,12.91,0.0,9.41,42.31,221
free_cash_flow_margin_change,23.66,11.49,19.87,55.49,405
cash_conversion_change,12.91,0.0,9.41,42.31,221
debt_to_assets_change,22.25,10.96,19.35,46.7,381
net_debt_to_assets_change,22.37,10.96,19.35,47.8,383
cash_to_assets_change,22.37,10.96,19.35,47.8,383
equity_ratio_change,16.53,6.16,15.03,29.12,283
asset_turnover_change,11.97,0.0,9.41,33.52,205
operating_income_to_assets_change,25.12,13.7,21.83,52.75,430
inventory_turnover_change,81.6,78.69,80.65,89.56,1397
r_and_d_intensity_change,49.71,42.39,47.91,64.84,851
capex_intensity_change,23.66,11.49,19.87,55.49,405
reinvestment_rate_change,50.18,42.92,48.43,64.84,859
ROIC_change,30.43,20.09,27.65,53.85,521
net_interest_margin_change,89.37,89.04,90.07,83.52,1530
capital_retention_change,98.36,98.17,98.43,97.8,1684
future_63d_sharpe,6.6,0.0,4.71,22.53,113
