feature,n,skew,kurtosis,min,median,max
return_on_equity,1233,15.7912,300.8239,-1.2454,0.0756,21.827
inventory_turnover,274,5.1537,32.1607,0.1656,1.453,46.8674
net_income_growth_yoy,1166,4.8853,29.2347,-3.7614,0.1213,16.5081
net_income_growth_yoy [RAW],1166,4.8853,29.2347,-3.7614,0.1213,16.5081
asset_turnover,1308,4.6241,32.6336,0.0069,0.1544,3.6438
operating_income_growth_yoy [RAW],1006,4.1498,21.6193,-2.158,0.1205,9.4441
operating_income_growth_yoy,1006,4.1498,21.6193,-2.158,0.1205,9.4441
operating_cash_flow_margin,1308,-3.3773,45.0383,-5.5581,0.2283,3.9402
capex_intensity,1157,3.3117,15.839,0.0001,0.0348,1.0841
cash_to_assets,1164,3.2275,14.9599,0.0045,0.0867,0.7612
operating_income_to_assets,1128,3.068,15.8014,-0.0894,0.0377,0.7299
ROIC [RAW],1051,3.0265,11.1011,-0.0825,0.0592,0.8217
ROIC,1051,3.0265,11.1011,-0.0825,0.0592,0.8217
return_on_assets,1308,2.9882,19.3231,-0.2847,0.0273,0.653
net_interest_margin,144,2.8285,9.9271,0.0009,0.0054,0.0579
operating_cash_flow_growth_yoy,1166,2.5797,14.1933,-4.7426,0.1039,9.6513
operating_cash_flow_growth_yoy [RAW],1166,2.5797,14.1933,-4.7426,0.1039,9.6513
reinvestment_rate,744,2.0745,6.1925,0.0203,0.1706,1.2357
revenue_growth_yoy [RAW],1166,1.8143,6.6513,-0.2874,0.0803,0.992
revenue_growth_yoy,1166,1.8143,6.6513,-0.2874,0.0803,0.992
r_and_d_intensity,751,1.4202,8.7541,0.0011,0.1275,0.886
capital_retention,32,-1.0945,0.2735,0.2504,0.638,0.7399
net_margin,1308,-1.0875,10.2389,-1.2526,0.1894,1.2191
cash_conversion,1308,0.7558,10.5996,-8.7768,1.2605,13.7801
cash_conversion [RAW],1308,0.7558,10.5996,-8.7768,1.2605,13.7801
debt_to_assets,1164,0.6057,-0.1889,0.0,0.2554,0.7672
gross_margin,983,-0.4624,-0.0597,-0.3266,0.5642,0.9947
free_cash_flow_margin,1157,-0.2894,2.8332,-0.7851,0.1608,0.7414
equity_ratio,1233,0.2348,-0.694,0.0031,0.3813,0.89
financial_score,1308,0.1992,0.0692,0.0958,0.4953,0.925
operating_margin,1128,-0.1769,2.1617,-0.6818,0.2248,0.792
future_63d_sharpe_raw [RAW],1308,0.1737,-0.0232,-5.5569,0.7389,7.4911
future_63d_sharpe,1308,0.1435,-0.3028,-3.6726,0.7389,5.6491
operative_score,1281,-0.1366,-0.1422,0.0,0.5,1.0
leverage_score,1308,-0.0854,-0.9257,0.0341,0.5208,0.9701
investment_score,1196,0.0821,-1.1308,0.0238,0.5,0.9815
cash_flow_score,1308,-0.063,-0.8511,0.0278,0.5,0.9785
profitability_score,1308,0.0459,-0.9543,0.0208,0.5,0.9688
competitive_advantage_score_w050,1308,0.0435,-0.044,0.137,0.5443,0.9625
net_debt_to_assets,1164,0.0404,1.2812,-0.7508,0.1522,0.7064
efficiency_score,1308,-0.0348,-0.9622,0.0185,0.522,0.9792
growth_score,1166,-0.0262,-0.9259,0.0294,0.5,0.9615
