block,feature,R2_on_others,VIF,n_rows,flag
scores,profitability_score,1.0,inf,1044,HIGH>10
scores,growth_score,1.0,inf,1044,HIGH>10
scores,cash_flow_score,1.0,inf,1044,HIGH>10
scores,leverage_score,1.0,inf,1044,HIGH>10
scores,efficiency_score,1.0,inf,1044,HIGH>10
scores,investment_score,1.0,inf,1044,HIGH>10
scores,financial_score,1.0,inf,1044,HIGH>10
scores,operative_score,1.0,inf,1044,HIGH>10
scores,competitive_advantage_score_w050,1.0,inf,1044,HIGH>10
core_kpis,gross_margin,0.368,1.5822,796,
core_kpis,operating_margin,0.9068,10.7302,796,HIGH>10
core_kpis,net_margin,0.9019,10.1978,796,HIGH>10
core_kpis,return_on_assets,0.9674,30.6856,796,HIGH>10
core_kpis,return_on_equity,0.1587,1.1887,796,
core_kpis,revenue_growth_yoy,0.3436,1.5235,796,
core_kpis,operating_income_growth_yoy,0.4351,1.7702,796,
core_kpis,net_income_growth_yoy,0.3608,1.5645,796,
core_kpis,operating_cash_flow_growth_yoy,0.142,1.1656,796,
core_kpis,operating_cash_flow_margin,1.0,inf,796,HIGH>10
core_kpis,free_cash_flow_margin,1.0,inf,796,HIGH>10
core_kpis,cash_conversion,0.1225,1.1396,796,
core_kpis,debt_to_assets,1.0,inf,796,HIGH>10
core_kpis,net_debt_to_assets,1.0,inf,796,HIGH>10
core_kpis,cash_to_assets,1.0,inf,796,HIGH>10
core_kpis,equity_ratio,0.7304,3.7099,796,
core_kpis,asset_turnover,0.5698,2.3246,796,
core_kpis,operating_income_to_assets,0.9697,32.9772,796,HIGH>10
core_kpis,capex_intensity,1.0,inf,796,HIGH>10
core_kpis,ROIC,0.8274,5.7944,796,elevated>5
