ticker,accession_number,filing_date
AAPL,0000320193-21-000010,2021-01-28
AAPL,0000320193-21-000056,2021-04-29
AAPL,0000320193-21-000065,2021-07-28
AAPL,0000320193-21-000105,2021-10-29
AAPL,0000320193-22-000007,2022-01-28
AAPL,0000320193-22-000059,2022-04-29
AAPL,0000320193-22-000070,2022-07-29
AAPL,0000320193-22-000108,2022-10-28
AAPL,0000320193-23-000006,2023-02-03
AAPL,0000320193-23-000064,2023-05-05
AAPL,0000320193-23-000077,2023-08-04
AAPL,0000320193-23-000106,2023-11-03
AAPL,0000320193-24-000006,2024-02-02
AAPL,0000320193-24-000069,2024-05-03
AAPL,0000320193-24-000081,2024-08-02
AAPL,0000320193-24-000123,2024-11-01
AAPL,0000320193-25-000008,2025-01-31
AAPL,0000320193-25-000057,2025-05-02
AAPL,0000320193-25-000073,2025-08-01
AAPL,0000320193-25-000079,2025-10-31
AAPL,0000320193-26-000006,2026-01-30
AAPL,0000320193-26-000013,2026-05-01
ABBV,0001551152-21-000016,2021-05-07
ABBV,0001551152-21-000025,2021-08-02
ABBV,0001551152-21-000031,2021-11-02
ABBV,0001551152-22-000007,2022-02-18
ABBV,0001551152-22-000017,2022-05-06
ABBV,0001551152-22-000030,2022-08-04
ABBV,0001551152-22-000045,2022-11-04
ABBV,0001551152-23-000011,2023-02-17
ABBV,0001551152-23-000023,2023-05-05
ABBV,0001551152-23-000033,2023-08-07
ABBV,0001551152-23-000045,2023-11-06
ABBV,0001551152-24-000011,2024-02-20
ABBV,0001551152-24-000020,2024-05-03
ABBV,0001551152-24-000031,2024-08-07
ABBV,0001551152-24-000040,2024-11-04
ABBV,0001551152-25-000020,2025-02-14
ABBV,0001551152-25-000029,2025-05-09
ABBV,0001551152-25-000040,2025-08-04
ABBV,0001551152-25-000049,2025-11-04
ABBV,0001551152-26-000008,2026-02-20
ABBV,0001551152-26-000017,2026-05-08
ABT,0001104659-21-061693,2021-05-05
ABT,0001104659-21-100055,2021-08-04
ABT,0001104659-21-133629,2021-11-03
ABT,0001104659-22-025141,2022-02-18
ABT,0001104659-22-055285,2022-05-03
ABT,0001628280-22-020209,2022-08-02
ABT,0001628280-22-027550,2022-11-01
ABT,0001628280-23-004026,2023-02-17
ABT,0001628280-23-015699,2023-05-04
ABT,0001628280-23-027203,2023-08-03
ABT,0001628280-23-035957,2023-11-01
ABT,0001628280-24-005348,2024-02-16
ABT,0001628280-24-020011,2024-05-02
ABT,0001628280-24-033740,2024-07-31
ABT,0001628280-24-044602,2024-10-31
ABT,0001628280-25-007110,2025-02-21
ABT,0001628280-25-021090,2025-04-30
ABT,0001628280-25-036720,2025-07-30
ABT,0001628280-25-047131,2025-10-29
ABT,0001628280-26-010185,2026-02-20
ABT,0001628280-26-028357,2026-04-29
ACN,0001467373-20-000431,2020-12-17
ACN,0001467373-21-000106,2021-03-18
ACN,0001467373-21-000161,2021-06-24
ACN,0001467373-21-000229,2021-10-15
ACN,0001467373-21-000297,2021-12-16
ACN,0001467373-22-000144,2022-03-17
ACN,0001467373-22-000201,2022-06-23
ACN,0001467373-22-000295,2022-10-12
ACN,0001467373-22-000370,2022-12-16
ACN,0001467373-23-000124,2023-03-23
ACN,0001467373-23-000221,2023-06-22
ACN,0001467373-23-000324,2023-10-12
ACN,0001467373-23-000403,2023-12-19
ACN,0001467373-24-000108,2024-03-21
ACN,0001467373-24-000196,2024-06-20
ACN,0001467373-24-000278,2024-10-10
ACN,0001467373-24-000352,2024-12-19
ACN,0001467373-25-000100,2025-03-20
ACN,0001467373-25-000169,2025-06-20
ACN,0001467373-25-000217,2025-10-10
ACN,0001467373-25-000222,2025-12-18
ACN,0001467373-26-000014,2026-03-19
ACN,0001467373-26-000032,2026-06-18
AMAT,0000006951-21-000013,2021-02-25
AMAT,0000006951-21-000023,2021-05-27
AMAT,0000006951-21-000034,2021-08-26
AMAT,0000006951-21-000043,2021-12-17
AMAT,0000006951-22-000011,2022-02-24
AMAT,0000006951-22-000022,2022-05-26
AMAT,0000006951-22-000032,2022-08-25
AMAT,0000006951-22-000043,2022-12-16
AMAT,0000006951-23-000012,2023-02-23
AMAT,0000006951-23-000022,2023-05-26
AMAT,0000006951-23-000031,2023-08-24
AMAT,0000006951-23-000041,2023-12-15
AMAT,0000006951-24-000012,2024-02-27
AMAT,0000006951-24-000022,2024-05-23
AMAT,0000006951-24-000032,2024-08-22
AMAT,0000006951-24-000044,2024-12-13
AMAT,0000006951-25-000011,2025-02-20
AMAT,0000006951-25-000024,2025-05-22
AMAT,0000006951-25-000037,2025-08-21
AMAT,0001628280-25-056742,2025-12-12
AMAT,0001628280-26-009694,2026-02-19
AMAT,0001628280-26-037227,2026-05-21
AMD,0000002488-21-000056,2021-04-28
AMD,0000002488-21-000116,2021-07-28
AMD,0000002488-21-000178,2021-10-27
AMD,0000002488-22-000016,2022-02-03
AMD,0000002488-22-000078,2022-05-04
AMD,0000002488-22-000123,2022-08-03
AMD,0000002488-22-000170,2022-11-02
AMD,0000002488-23-000047,2023-02-27
AMD,0000002488-23-000076,2023-05-03
AMD,0000002488-23-000139,2023-08-02
AMD,0000002488-23-000195,2023-11-01
AMD,0000002488-24-000012,2024-01-31
AMD,0000002488-24-000056,2024-05-01
AMD,0000002488-24-000123,2024-07-31
AMD,0000002488-24-000163,2024-10-30
AMD,0000002488-25-000012,2025-02-05
AMD,0000002488-25-000047,2025-05-07
AMD,0000002488-25-000108,2025-08-06
AMD,0000002488-25-000166,2025-11-05
AMD,0000002488-26-000018,2026-02-04
AMD,0000002488-26-000076,2026-05-06
AMGN,0000318154-21-000019,2021-04-28
AMGN,0000318154-21-000034,2021-08-04
AMGN,0000318154-21-000045,2021-11-03
AMGN,0000318154-22-000010,2022-02-16
AMGN,0000318154-22-000021,2022-04-28
AMGN,0000318154-22-000041,2022-08-05
AMGN,0000318154-22-000055,2022-11-04
AMGN,0000318154-23-000017,2023-02-09
AMGN,0000318154-23-000029,2023-04-28
AMGN,0000318154-23-000053,2023-08-04
AMGN,0000318154-23-000064,2023-10-31
AMGN,0000318154-24-000011,2024-02-14
AMGN,0000318154-24-000020,2024-05-03
AMGN,0000318154-24-000035,2024-08-07
AMGN,0000318154-24-000044,2024-10-31
AMGN,0000318154-25-000010,2025-02-14
AMGN,0000318154-25-000020,2025-05-02
AMGN,0000318154-25-000056,2025-08-06
AMGN,0000318154-25-000072,2025-11-05
AMGN,0000318154-26-000010,2026-02-13
AMGN,0000318154-26-000057,2026-05-01
AMZN,0001018724-21-000010,2021-04-30
AMZN,0001018724-21-000020,2021-07-30
AMZN,0001018724-21-000028,2021-10-29
AMZN,0001018724-22-000005,2022-02-04
AMZN,0001018724-22-000013,2022-04-29
AMZN,0001018724-22-000019,2022-07-29
AMZN,0001018724-22-000023,2022-10-28
AMZN,0001018724-23-000004,2023-02-03
AMZN,0001018724-23-000008,2023-04-28
AMZN,0001018724-23-000012,2023-08-04
AMZN,0001018724-23-000018,2023-10-27
AMZN,0001018724-24-000008,2024-02-02
AMZN,0001018724-24-000083,2024-05-01
AMZN,0001018724-24-000130,2024-08-02
AMZN,0001018724-24-000161,2024-11-01
AMZN,0001018724-25-000004,2025-02-07
AMZN,0001018724-25-000036,2025-05-02
AMZN,0001018724-25-000086,2025-08-01
AMZN,0001018724-25-000123,2025-10-31
AMZN,0001018724-26-000004,2026-02-06
AMZN,0001018724-26-000014,2026-04-30
APH,0001104659-25-102142,2025-10-24
APH,0001104659-26-013549,2026-02-11
APH,0001104659-26-054128,2026-05-01
APH,0001558370-21-005338,2021-04-30
APH,0001558370-21-009700,2021-07-30
APH,0001558370-21-013825,2021-10-29
APH,0001558370-22-000961,2022-02-09
APH,0001558370-22-006502,2022-04-29
APH,0001558370-22-011379,2022-07-29
APH,0001558370-22-015585,2022-10-28
APH,0001558370-23-001036,2023-02-08
APH,0001558370-23-007328,2023-04-28
APH,0001558370-23-012484,2023-07-28
APH,0001558370-23-016952,2023-10-27
APH,0001558370-24-000866,2024-02-07
APH,0001558370-24-005928,2024-04-26
APH,0001558370-24-010246,2024-07-26
APH,0001558370-24-013696,2024-10-25
APH,0001558370-25-000714,2025-02-07
APH,0001558370-25-005558,2025-04-25
APH,0001558370-25-009610,2025-07-25
APP,0001193125-21-161989,2021-05-14
APP,0001751008-21-000005,2021-08-13
APP,0001751008-21-000009,2021-11-12
APP,0001751008-22-000005,2022-03-11
APP,0001751008-22-000010,2022-05-13
APP,0001751008-22-000016,2022-08-12
APP,0001751008-22-000020,2022-11-10
APP,0001751008-23-000006,2023-02-28
APP,0001751008-23-000048,2023-05-10
APP,0001751008-23-000062,2023-08-09
APP,0001751008-23-000072,2023-11-08
APP,0001751008-24-000012,2024-02-26
APP,0001751008-24-000043,2024-05-08
APP,0001751008-24-000055,2024-08-07
APP,0001751008-24-000062,2024-11-06
APP,0001751008-25-000018,2025-02-27
APP,0001751008-25-000053,2025-05-07
APP,0001751008-25-000072,2025-08-06
APP,0001751008-25-000081,2025-11-05
APP,0001751008-26-000010,2026-02-19
APP,0001751008-26-000044,2026-05-06
AVGO,0001730168-21-000045,2021-03-12
AVGO,0001730168-21-000116,2021-06-11
AVGO,0001730168-21-000123,2021-09-09
